date,market,category,commodity,unit,price,H-date
12/15/2012,National Average,cereals and tubers,Potatoes,KG,0.65,12/15/2012
12/15/2012,National Average,cereals and tubers,Rice (imported),KG,1.1,12/15/2012
12/15/2012,National Average,"meat, fish and eggs",Eggs,2 KG,3.47,12/15/2012
12/15/2012,National Average,"meat, fish and eggs",Meat (beef),KG,9.27,12/15/2012
12/15/2012,National Average,"meat, fish and eggs",Meat (chicken),KG,2.25,12/15/2012
12/15/2012,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.59,12/15/2012
12/15/2012,National Average,"meat, fish and eggs",Meat (lamb),KG,11.17,12/15/2012
12/15/2012,National Average,milk and dairy,"Cheese (white, boiled)",KG,4.26,12/15/2012
12/15/2012,National Average,milk and dairy,Milk (pasteurized),L,1.17,12/15/2012
12/15/2012,National Average,miscellaneous food,Sugar,KG,0.8,12/15/2012
12/15/2012,National Average,oil and fats,Oil (olive),KG,5.3,12/15/2012
12/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.72,12/15/2012
12/15/2012,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.49,12/15/2012
12/15/2012,National Average,pulses and nuts,Chickpeas,KG,1.73,12/15/2012
12/15/2012,National Average,pulses and nuts,Lentils,KG,1.21,12/15/2012
12/15/2012,National Average,pulses and nuts,Pulses,KG,1.5,12/15/2012
12/15/2012,National Average,vegetables and fruits,Apples (red),KG,1.9,12/15/2012
12/15/2012,National Average,vegetables and fruits,Bananas,KG,0.85,12/15/2012
12/15/2012,National Average,vegetables and fruits,Cucumbers,KG,0.59,12/15/2012
12/15/2012,National Average,vegetables and fruits,Garlic,KG,2.53,12/15/2012
12/15/2012,National Average,vegetables and fruits,Onions,KG,0.6,12/15/2012
12/15/2012,National Average,vegetables and fruits,Oranges (big size),KG,1.57,12/15/2012
12/15/2012,National Average,vegetables and fruits,Tomatoes,KG,0.48,12/15/2012
1/15/2013,National Average,cereals and tubers,Bread (pita),KG,0.17,1/15/2013
1/15/2013,National Average,cereals and tubers,Potatoes,KG,0.77,1/15/2013
1/15/2013,National Average,cereals and tubers,Rice (imported),KG,1.11,1/15/2013
1/15/2013,National Average,"meat, fish and eggs",Eggs,2 KG,3.61,1/15/2013
1/15/2013,National Average,"meat, fish and eggs",Meat (beef),KG,9.54,1/15/2013
1/15/2013,National Average,"meat, fish and eggs",Meat (chicken),KG,2.28,1/15/2013
1/15/2013,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.78,1/15/2013
1/15/2013,National Average,"meat, fish and eggs",Meat (lamb),KG,11.79,1/15/2013
1/15/2013,National Average,milk and dairy,"Cheese (white, boiled)",KG,4.43,1/15/2013
1/15/2013,National Average,milk and dairy,Milk (pasteurized),L,1.17,1/15/2013
1/15/2013,National Average,miscellaneous food,Sugar,KG,0.8,1/15/2013
1/15/2013,National Average,oil and fats,Oil (olive),KG,5.3,1/15/2013
1/15/2013,National Average,oil and fats,Oil (vegetable),1.8 L,1.86,1/15/2013
1/15/2013,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.5,1/15/2013
1/15/2013,National Average,pulses and nuts,Chickpeas,KG,1.77,1/15/2013
1/15/2013,National Average,pulses and nuts,Lentils,KG,1.26,1/15/2013
1/15/2013,National Average,vegetables and fruits,Apples (red),KG,1.99,1/15/2013
1/15/2013,National Average,vegetables and fruits,Bananas,KG,0.85,1/15/2013
1/15/2013,National Average,vegetables and fruits,Cucumbers,KG,0.64,1/15/2013
1/15/2013,National Average,vegetables and fruits,Garlic,KG,2.54,1/15/2013
1/15/2013,National Average,vegetables and fruits,Onions,KG,0.63,1/15/2013
1/15/2013,National Average,vegetables and fruits,Oranges (big size),KG,1.57,1/15/2013
1/15/2013,National Average,vegetables and fruits,Tomatoes,KG,0.77,1/15/2013
2/15/2013,National Average,cereals and tubers,Bread (pita),KG,0.17,2/15/2013
2/15/2013,National Average,cereals and tubers,Potatoes,KG,0.78,2/15/2013
2/15/2013,National Average,cereals and tubers,Rice (imported),KG,1.15,2/15/2013
2/15/2013,National Average,"meat, fish and eggs",Eggs,2 KG,3.84,2/15/2013
2/15/2013,National Average,"meat, fish and eggs",Meat (beef),KG,9.34,2/15/2013
2/15/2013,National Average,"meat, fish and eggs",Meat (chicken),KG,2.45,2/15/2013
2/15/2013,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.8,2/15/2013
2/15/2013,National Average,"meat, fish and eggs",Meat (lamb),KG,11.75,2/15/2013
2/15/2013,National Average,milk and dairy,"Cheese (white, boiled)",KG,4.54,2/15/2013
2/15/2013,National Average,milk and dairy,Milk (pasteurized),L,1.16,2/15/2013
