date,market,category,commodity,unit,price,H-date
3/15/2013,National Average,cereals and tubers,Bread (pita),KG,0.17,4/05/1434
3/15/2013,National Average,cereals and tubers,Potatoes,KG,0.78,4/05/1434
3/15/2013,National Average,cereals and tubers,Rice (imported),KG,1.15,4/05/1434
3/15/2013,National Average,"meat, fish and eggs",Eggs,2 KG,3.65,4/05/1434
3/15/2013,National Average,"meat, fish and eggs",Meat (beef),KG,9.26,4/05/1434
3/15/2013,National Average,"meat, fish and eggs",Meat (chicken),KG,2.37,4/05/1434
3/15/2013,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.74,4/05/1434
3/15/2013,National Average,"meat, fish and eggs",Meat (lamb),KG,12.03,4/05/1434
3/15/2013,National Average,milk and dairy,"Cheese (white, boiled)",KG,4.54,4/05/1434
3/15/2013,National Average,milk and dairy,Milk (pasteurized),L,1.16,4/05/1434
3/15/2013,National Average,miscellaneous food,Sugar,KG,0.79,4/05/1434
3/15/2013,National Average,oil and fats,Oil (olive),KG,5.07,4/05/1434
3/15/2013,National Average,oil and fats,Oil (vegetable),1.8 L,1.91,4/05/1434
3/15/2013,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.49,4/05/1434
3/15/2013,National Average,pulses and nuts,Chickpeas,KG,1.8,4/05/1434
3/15/2013,National Average,pulses and nuts,Lentils,KG,1.28,4/05/1434
3/15/2013,National Average,vegetables and fruits,Apples (red),KG,1.95,4/05/1434
3/15/2013,National Average,vegetables and fruits,Bananas,KG,0.86,4/05/1434
3/15/2013,National Average,vegetables and fruits,Cucumbers,KG,0.68,4/05/1434
3/15/2013,National Average,vegetables and fruits,Garlic,KG,2.25,4/05/1434
3/15/2013,National Average,vegetables and fruits,Onions,KG,0.7,4/05/1434
3/15/2013,National Average,vegetables and fruits,Oranges (big size),KG,0.97,4/05/1434
3/15/2013,National Average,vegetables and fruits,Tomatoes,KG,0.59,4/05/1434
4/15/2013,National Average,cereals and tubers,Bread (pita),KG,0.17,5/06/1434
4/15/2013,National Average,cereals and tubers,Potatoes,KG,0.73,5/06/1434
4/15/2013,National Average,cereals and tubers,Rice (imported),KG,1.14,5/06/1434
4/15/2013,National Average,"meat, fish and eggs",Eggs,2 KG,3.58,5/06/1434
4/15/2013,National Average,"meat, fish and eggs",Meat (beef),KG,9.39,5/06/1434
4/15/2013,National Average,"meat, fish and eggs",Meat (chicken),KG,2.37,5/06/1434
4/15/2013,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.75,5/06/1434
4/15/2013,National Average,"meat, fish and eggs",Meat (lamb),KG,11.98,5/06/1434
4/15/2013,National Average,milk and dairy,"Cheese (white, boiled)",KG,4.71,5/06/1434
4/15/2013,National Average,milk and dairy,Milk (pasteurized),L,1.17,5/06/1434
4/15/2013,National Average,miscellaneous food,Sugar,KG,0.79,5/06/1434
4/15/2013,National Average,oil and fats,Oil (olive),KG,5.07,5/06/1434
4/15/2013,National Average,oil and fats,Oil (vegetable),1.8 L,1.86,5/06/1434
4/15/2013,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.48,5/06/1434
4/15/2013,National Average,pulses and nuts,Chickpeas,KG,1.83,5/06/1434
4/15/2013,National Average,pulses and nuts,Lentils,KG,1.33,5/06/1434
4/15/2013,National Average,vegetables and fruits,Apples (red),KG,2.27,5/06/1434
4/15/2013,National Average,vegetables and fruits,Bananas,KG,0.86,5/06/1434
4/15/2013,National Average,vegetables and fruits,Cucumbers,KG,0.58,5/06/1434
4/15/2013,National Average,vegetables and fruits,Garlic,KG,2.25,5/06/1434
4/15/2013,National Average,vegetables and fruits,Onions,KG,0.65,5/06/1434
4/15/2013,National Average,vegetables and fruits,Oranges (big size),KG,1.34,5/06/1434
4/15/2013,National Average,vegetables and fruits,Tomatoes,KG,0.72,5/06/1434
5/15/2013,National Average,cereals and tubers,Bread (pita),KG,0.17,6/07/1434
5/15/2013,National Average,cereals and tubers,Potatoes,KG,0.78,6/07/1434
5/15/2013,National Average,cereals and tubers,Rice (imported),KG,1.15,6/07/1434
5/15/2013,National Average,"meat, fish and eggs",Eggs,2 KG,3.65,6/07/1434
5/15/2013,National Average,"meat, fish and eggs",Meat (beef),KG,9.26,6/07/1434
5/15/2013,National Average,"meat, fish and eggs",Meat (chicken),KG,2.37,6/07/1434
5/15/2013,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.74,6/07/1434
5/15/2013,National Average,"meat, fish and eggs",Meat (lamb),KG,12.03,6/07/1434
5/15/2013,National Average,milk and dairy,"Cheese (white, boiled)",KG,4.54,6/07/1434
5/15/2013,National Average,milk and dairy,Milk (pasteurized),L,1.16,6/07/1434
5/15/2013,National Average,miscellaneous food,Sugar,KG,0.79,6/07/1434
5/15/2013,National Average,oil and fats,Oil (olive),KG,5.07,6/07/1434
5/15/2013,National Average,oil and fats,Oil (vegetable),1.8 L,1.86,6/07/1434
5/15/2013,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.49,6/07/1434
5/15/2013,National Average,pulses and nuts,Chickpeas,KG,1.8,6/07/1434
5/15/2013,National Average,pulses and nuts,Lentils,KG,1.33,6/07/1434
5/15/2013,National Average,vegetables and fruits,Apples (red),KG,1.99,6/07/1434
5/15/2013,National Average,vegetables and fruits,Bananas,KG,0.86,6/07/1434
5/15/2013,National Average,vegetables and fruits,Cucumbers,KG,0.68,6/07/1434
5/15/2013,National Average,vegetables and fruits,Garlic,KG,2.25,6/07/1434
5/15/2013,National Average,vegetables and fruits,Onions,KG,0.7,6/07/1434
5/15/2013,National Average,vegetables and fruits,Oranges (big size),KG,0.97,6/07/1434
5/15/2013,National Average,vegetables and fruits,Tomatoes,KG,0.59,6/07/1434
6/15/2013,National Average,cereals and tubers,Bread (pita),KG,0.17,7/08/1434
6/15/2013,National Average,cereals and tubers,Potatoes,KG,0.71,7/08/1434
6/15/2013,National Average,cereals and tubers,Rice (imported),KG,1.14,7/08/1434
6/15/2013,National Average,"meat, fish and eggs",Eggs,2 KG,3.48,7/08/1434
6/15/2013,National Average,"meat, fish and eggs",Meat (beef),KG,9.43,7/08/1434
6/15/2013,National Average,"meat, fish and eggs",Meat (chicken),KG,2.37,7/08/1434
6/15/2013,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.72,7/08/1434
6/15/2013,National Average,"meat, fish and eggs",Meat (lamb),KG,11.81,7/08/1434
6/15/2013,National Average,milk and dairy,"Cheese (white, boiled)",KG,4.71,7/08/1434
6/15/2013,National Average,milk and dairy,Milk (pasteurized),L,1.18,7/08/1434
6/15/2013,National Average,miscellaneous food,Sugar,KG,0.78,7/08/1434
6/15/2013,National Average,oil and fats,Oil (olive),KG,4.86,7/08/1434
